Crop species,Crop name,MonfredaCrop,CropCategory,Breeding,Pollination without visitors,Pollinators and visitors,Positive impact by animal pollination,"Leading crop, commodity",Refs for positive impact,Notes
Abelmoschus esculentus,"Okra, Gumbo",okra,Vegetable,"hermaphrodite, self-compatible",passive self-pollination,"honey bees (Apis cerana), solitary bees (Halictus spp.)",modest,yes,Crane 1991; Hamon 1991; in Free 1993,
Cajanus cajan,"Pigeon pea, Cajan pea, Congo bean",pigeonpea,Vegetable,"hermaphrodite, self-compatible",passive self-pollination,"honey bees, solitary bees (Megachile sp., Xylocopa sp., Chalicodoma sp.)",little,no,James et al. 1989; Grewal et al. 1990; in Free 1993; in Heard 1999,
"Canavalia ensiformis, C. gladiata, C. marittima, C. microcarpa, C. virosa","Jack bean, Horse bean, Sword bean",broadbean,Vegetable,"hermaphrodite, self-compatible","passive self-pollination, wind pollination",solitary bees (Xylocopa confusa),modest,"commodity, pulses NES",Free 1993; Gross 1993 for C. rosea,
"Capsicum annuum, C. frutescens","Chile pepper, Red pepper, Bell pepper, Green pepper",chilleetc,Vegetable,"hermaphrodite, self-compatible","wind- or insect-mediated shaking necessary for self-pollination, passive self-pollination","honey bees, stingless bees (Melipona favosa, M. subnitida), bumble bees (Bombus impatiens, B. terrestris), solitary bees (Osmia cornifrons, Megachile rotundata), hover flies (Eristalis tenax)",little,yes,"Jarlan et al. 1997a,b; Meisels & Chiasson 1997; Raw 2000; Dag & Kammer 2001; Ercan & Onus 2003; De Oliveira Cruz et al. 2005; in Slaa et al. 2006","pollinators important in greenhouses to increase fruit weight, but less in open fields"
Chenopodium quinoa,Quinoa,quinoa,Vegetable,"hermaphrodite, andro-monoecious","passive self-pollination, wind pollination",flies,no increase,no,Simmonds 1965; Simmonds 1971,
Cicer arietinum,"Chickpea, Gram, Garbanzo bean",chickpea,Vegetable,"hermaphrodite, self-compatible",passive self-pollination,"honey bees, solitary bees",no increase,yes,Free 1993; Abbo et al. 2003,
Citrullus lanatus,Watermelon,watermelon,Vegetable,"mostly monoecious, self-compatible",,"honey bees (Apis cerana), bumble bees (Bombus californicus, B. impatiens, B. vosnesenskii), solitary bees (Halictus tripartitus, Peponapis pruinosa),",essential,yes,Free 1993; Stanghellini et al. 1997; Stanghellini et al. 1998; Delaplane & Mayer 2000; Kremen et al. 2002; Stanghellini et al. 2002; Kremen et al. 2004; Njoroge et al. 2004,species effective in pollen deposition are listed in Kremen et al. 2002
Cucumis melo,"Cantaloupe, Melon",melonetc,Vegetable,"monoecious or andro-monoecious, self-compatible",passive self-pollination possible only in andro-monoecious varieties,"honey bees (Apis mellifera), bumble bees Bombus sp., solitary bees (Ceratina sp.)",essential,yes,Free 1993; Norden 1985; Kato & Nogueira-Couto 2002; Valantin-Morison et al. 2006,
Cucumis sativus,"Cucumber, Gherkin",cucumberetc,Vegetable,"monoecious or andro-monoecious, self-compatible",passive self-pollination possible only in andro-monoecious varieties,"honey bees (Apis mellifera), bumble bees (Bombus impatiens), solitary bees (Melissodes sp.)",great,yes,Free 1993; Stanghellini et al. 1997; Gingras et al. 1999; Stanghellini et al. 2002; Slaa et al. 2006,parthenocarpic gynoecious varieties of slicing cucumber grown in greenhouses for which insect pollinators can be detrimental to fruit quality
"Cucurbita maxima, C. mixta, C. moschata, C. pepo","Pumpkin, Squash, Gourd, Marrow, Zucchini",pumpkinetc,Vegetable,"monoecious, self-compatible",,"honey bees (Apis cerana, A. mellifera), stingless bees (Scaptotrigona depilis), solitary bees, (Pithitis smaragdula, Peponapis limitaris, P. pruinosa, Xenoglossa sp., Ceratina sp.)",essential,yes,Norden 1985; Free 1993; Nepi & Paccini 1993; Delaplane & Mayer 2000; Canto-Aguilar & Parra-Tabla 2000; Ashworth & Galetto 2001; Cardoso 2003 (higher germination rate and vigor with natural pollination); Fuchs & Müller 2004,
